Complexity,Loss,Equation
1,0.0022853241474467467,"-0.2738435559889674"
3,0.0016506642449418394,"(0.13588963711404753 - x7)"
5,0.0004410492307163958,"((-0.4263565814837488 - x33) - x20)"
7,0.0003260107227770038,"((-0.4347145850292153 - (x18 * 0.9413553282281512)) - x5)"
9,0.0002811324071058354,"(-0.5857937570061067 - ((x32 - x40) * (0.11245776455537683 / x33)))"
11,0.00027916688678808287,"(-0.5857937570061067 - ((x32 - x40) * ((0.11245776455537683 / x6) + 0.0017185785475595623)))"
13,0.00024099022232171983,"(-0.5857937570061067 - (((x2 + (0.41206482612816275 - x37)) - x43) * (0.11245776455537683 / x9)))"
15,0.00021124835621619996,"(-0.5857937570061067 - (((x32 + ((x19 - x40) / x15)) - x40) * (0.11245776455537683 / x42)))"
17,0.00019506505443057885,"(-0.5857937570061067 - ((((x32 + ((x19 - x40) / x9)) * 1.0161644079413503) - x40) * (0.11245776455537683 / x9)))"
19,0.00019158087314088135,"(-0.5857937570061067 - (((((x32 + ((x19 - x40) / x9)) / 0.9935246887006545) * 1.0161644079413503) - x40) * (0.11245776455537683 / x9)))"
